Date;Open;High;Low;Close
02/12/23;38689,27862;39678,93729;38652,59568;39476,33328
03/12/23;39472,20747;40135,6049;39298,16552;39978,39182
04/12/23;39978,62865;42371,74944;39978,62865;4198,009948
05/12/23;4198,626435;44408,66574;41421,14739;44080,64795
06/12/23;44080,02425;44265,7704;43478,08132;43746,44536
07/12/23;43769,13107;44042,58802;4288,065013;4329,266424
08/12/23;43293,13495;44705,51501;43125,2951;44166,60064
09/12/23;44180,02094;44361,25735;43627,59718;43725,98581
10/12/23;43728,38348;44034,62497;43593,2838;43779,69729
11/12/23;43792,01786;43808,37306;40234,57833;4124,383331
12/12/23;41238,73339;42048,30378;40667,56185;41450,22219
13/12/23;41468,46586;43429,78062;40676,86816;42890,74073
14/12/23;4288,426269;43390,86037;41767,09054;43023,97197
15/12/23;43028,25069;4308,782377;41692,96804;4192,975839
16/12/23;41937,74097;42664,94514;41723,11347;42240,11908
17/12/23;42236,10834;42359,49612;41274,54352;4136,466592
18/12/23;41348,20209;42720,29713;40530,25852;42623,53833
19/12/23;42641,51021;43354,2966;41826,33515;4227,052614
20/12/23;42261,30014;44275,58751;422,2381786;43652,24867
21/12/23;43648,12493;44240,66913;43330,05265;43869,15086
22/12/23;43868,98642;44367,95577;43441,96795;43997,90141
23/12/23;44012,19863;44015,69864;43351,3557;43739,54214
24/12/23;43728,36599;43945,52156;42786,91786;43016,11762
25/12/23;43010,57292;43765,09214;42765,77114;43613,14208
26/12/23;43599,84759;43603,17544;41676,48997;42520,40151
27/12/23;42518,46853;43683,15981;42167,58349;43442,85456
28/12/23;43468,19806;43804,78142;42318,54886;42627,85353
29/12/23;42614,64389;43124,32586;41424,06064;420,9940281
30/12/23;42091,75264;42584,12364;4155,622599;42156,90115
31/12/23;42152,09845;42860,93739;41998,25535;4226,518565
01/01/24;42280,23528;44175,43605;42214,97675;44167,33021
02/01/24;44187,13904;45899,70635;44176,95044;44957,97005
03/01/24;44961,60319;45503,24179;40813,53487;42848,17564
04/01/24;42855,81476;44770,02341;4267,517401;44179,9217
05/01/24;44192,9787;44353,28586;42784,71827;44162,69163
06/01/24;44178,95461;44227,63131;43475,15643;43989,19409
07/01/24;43998,46424;44495,57147;43662,22863;43943,09723
08/01/24;43948,70696;47218,00113;43244,08161;46970,50231
09/01/24;46987,63874;4789,370101;45244,71515;46139,73037
10/01/24;46121,53982;47647,22099;44483,15086;46627,77911
11/01/24;46656,07308;48969,3714;45678,6454;46368,58538
12/01/24;46354,79319;46498,13482;41903,77075;4285,316666
13/01/24;42799,44649;43234,66178;42464,1432;4284,238219
14/01/24;42842,26367;43065,59885;41724,61372;41796,26961
15/01/24;41715,06653;43319,72118;41705,41833;42511,96772
16/01/24;42499,33754;43566,27492;42085,99603;43154,94423
17/01/24;43132,10034;43189,89051;42189,31053;42742,65284
18/01/24;42742,31162;42876,3466;4063,117049;41262,05836
19/01/24;41278,45919;42134,15898;40297,45786;41618,40737
20/01/24;41624,58903;41877,89392;41446,82309;41665,58484
21/01/24;4167,148853;41855,36872;41497,00966;41545,78351
22/01/24;41553,65269;41651,20679;39450,11899;3950,736882
23/01/24;39518,71545;40127,35343;38521,89389;39845,55115
24/01/24;39877,59556;40483,78388;39508,79846;4007,707327
25/01/24;40075,54902;40254,48232;39545,66446;399,3380775
26/01/24;39936,81688;42209,38517;39825,69223;41816,87284
27/01/24;4181,562502;42195,63156;41431,27989;42120,05635
28/01/24;42126,12596;42797,17736;41696,90834;42035,59437
29/01/24;42030,91538;4330,586886;41818,33109;43288,24534
30/01/24;43300,22809;43838,94684;4271,137176;42952,60821
31/01/24;4294,625137;43717,40466;42298,94716;42582,60639
01/02/24;42569,7614;43243,16818;41879,18999;43075,7746
02/02/24;43077,63918;43422,48807;4258,433723;43185,85943
03/02/24;43184,96368;43359,94193;42890,80668;42992,24963
04/02/24;42994,9408;4309,764402;42374,8339;42583,58292
05/02/24;42577,62298;43494,24863;42264,8173;426,5866605
06/02/24;42657,39107;4334,414822;42529,02142;43084,67186
07/02/24;43090,0213;44341,94833;42775,95847;44318,22445
08/02/24;44332,1256;45575,84172;44332,1256;45301,56663
09/02/24;45297,38425;4815,249463;45260,82457;47147,20031
10/02/24;47153,52842;48146,17043;46905,32169;47771,27737
11/02/24;47768,96813;48535,93591;47617,40537;4829,391675
12/02/24;48296,3852;50280,47527;4774,576026;49958,22422
13/02/24;49941,36116;50358,39209;4840,649556;49742,44099
14/02/24;49733,4448;52021,37078;49296,83092;51826,696
15/02/24;51836,78358;52820,06693;51371,62748;51938,55632
16/02/24;5193,772691;52537,97023;51641,36722;52160,20283
17/02/24;52161,67548;52191,91409;50669,66868;51662,99537
18/02/24;51661,97011;52356,96316;51233,70883;52122,54546
19/02/24;52134,81221;52483,32555;51711,81923;51779,14406
20/02/24;51777,72851;52945,05257;50792,31125;52284,87356
21/02/24;52273,53578;52368,81674;50671,75866;5183,918053
22/02/24;51854,64522;52009,61249;50926,29339;51304,97436
23/02/24;51283,90457;5149,793219;50561,77586;50731,94919
24/02/24;50736,37007;51684,19452;50585,44589;51571,10311
25/02/24;51565,21536;51950,02724;51306,17017;51733,2366
26/02/24;51730,53979;54938,17438;50931,03161;54522,40154
27/02/24;54519,36207;57537,83966;54484,20014;57085,37231
28/02/24;57071,09805;63913,13181;5673,84242;62504,78925
29/02/24;62499,18177;63585,64343;60498,73045;6119,83829
01/03/24;61168,06243;6315,510235;60802,52636;6244,063254
02/03/24;62431,65248;6245,869852;61657,28871;62029,84606
03/03/24;62031,57852;63230,20956;61435,02342;63167,37036
04/03/24;63137,00468;68537,02933;62386,51835;68330,41561
05/03/24;68341,05778;69170,62821;59323,90894;63801,19756
06/03/24;63776,05143;67637,92986;62848,67152;66106,80279
07/03/24;66099,74165;68029,91869;65655,5342;66925,4832
08/03/24;6693,809348;70083,05162;66230,45214;68300,09569
09/03/24;68299,25973;68673,05803;68053,12522;68498,8813
10/03/24;68500,25585;70005,1999;68239,98039;69019,78636
11/03/24;69020,54977;72850,71358;67194,88615;72123,90355
12/03/24;72125,12163;72825,65737;68728,85433;71481,29159
13/03/24;71482,11707;73637,47479;7133,409238;73083,50133
14/03/24;73079,37338;737,5007385;68563,02277;71396,58989
15/03/24;71387,8732;72357,13088;65630,69408;69403,77183
16/03/24;69392,4875;70046,27393;64801,39555;65315,11747
17/03/24;65316,34488;6884,571624;64545,3181;68390,6228
18/03/24;68371,30726;68897,13441;66594,23035;67548,59157
19/03/24;67556,13116;68106,92741;61536,18025;61912,77315
20/03/24;619,301549;68115,25887;6080,778596;67913,67303
21/03/24;67911,58387;68199,99044;64580,91674;65491,38993
22/03/24;65489,92846;66623,7493;62355,36971;63778,76256
23/03/24;63802,72196;65976,40154;63038,49308;64062,20233
24/03/24;6407,075213;67622,76089;63825,85334;67234,17235
25/03/24;67234,09758;71162,59344;66414,83223;69958,81358
26/03/24;6993,132635;71535,7408;6933,561291;69987,8389
27/03/24;69991,89651;71727,68376;68381,92585;69455,34098
28/03/24;69452,77111;71546,0196;68895,50523;707,4495206
29/03/24;70744,79652;70913,09572;69076,65419;69892,82907
30/03/24;69893,44429;70355,49479;69601,06506;69645,30579
31/03/24;69647,77903;713,777795;69624,86868;71333,64793
01/04/24;71333,48472;71342,09145;68110,69602;69702,14611
02/04/24;69705,02432;69708,38126;64586,5943;65446,97423
03/04/24;6544,667176;6691,432256;64559,89995;65980,80865
04/04/24;65975,69667;69291,25481;65113,79653;68508,84184
05/04/24;68515,75426;68725,75836;66011,47949;67837,64253
06/04/24;6784,057358;69629,60205;6749,171524;68896,10998
07/04/24;68897,11113;70284,42626;68851,63009;69362,55128
08/04/24;69362,554;72715,35961;69064,2449;71631,35695
09/04/24;71632,50266;71742,50632;68212,9193;69139,01583
